date,value
2023-02-20,99.390000
2023-02-21,89.900000
2023-02-22,92.900000
2023-02-23,54.440000
2023-02-24,105.880000
2023-02-25,117.370000
2023-02-26,152.830000
2023-02-27,80.910000
2023-02-28,108.880000
2023-03-01,117.370000
2023-03-02,136.850000
2023-03-03,69.430000
2023-03-04,162.320000
2023-03-05,158.830000
2023-03-06,153.340000
2023-03-07,189.290000
2023-03-08,96.400000
2023-03-09,107.880000
2023-03-10,136.350000
2023-03-11,113.880000
2023-03-12,213.770000
2023-03-13,118.370000
2023-03-14,171.310000
2023-03-15,144.840000
2023-03-16,90.400000
2023-03-17,125.860000
2023-03-18,135.350000
2023-03-19,167.820000
2023-03-20,135.850000
2023-03-21,107.880000
2023-03-22,168.320000
2023-03-23,113.880000
2023-03-24,142.850000
2023-03-25,125.860000
2023-03-26,205.780000
2023-03-27,125.860000
2023-03-28,295.680000
2023-03-29,207.770000
2023-03-30,270.700000
2023-03-31,298.670000
2023-04-01,117.370000
2023-04-02,267.710000
2023-04-03,292.680000
2023-04-04,302.670000
2023-04-05,329.640000
2023-04-06,194.790000
2023-04-07,89.900000
2023-04-08,35.960000
2023-04-09,209.780000
2023-04-10,116.870000
2023-04-11,98.890000
2023-04-12,59.940000
2023-04-13,17.980000
2023-04-14,35.960000
2023-04-15,0.000000
2023-04-16,0.000000
2023-04-17,0.000000
2023-04-18,29.980000
2023-04-19,0.000000
2023-04-20,0.000000
2023-04-21,14.990000
2023-04-22,0.000000
2023-04-23,0.000000
2023-04-24,0.000000
2023-04-25,14.990000
2023-04-26,0.000000
2023-04-27,9.490000
2023-04-28,0.000000
2023-04-29,29.980000
2023-04-30,14.990000
2023-05-01,14.990000
2023-05-02,0.000000
2023-05-03,53.940000
2023-05-04,9.490000
2023-05-05,26.970000
2023-05-06,35.960000
2023-05-07,50.950000
2023-05-08,71.920000
2023-05-09,17.980000
2023-05-10,72.420000
2023-05-11,44.950000
2023-05-12,59.940000
2023-05-13,86.910000
2023-05-14,26.970000
2023-05-15,80.910000
2023-05-16,136.350000
2023-05-17,125.860000
2023-05-18,116.870000
2023-05-19,81.410000
2023-05-20,104.890000
2023-05-21,145.340000
2023-05-22,89.900000
2023-05-23,168.820000
2023-05-24,177.310000
2023-05-25,90.900000
2023-05-26,143.840000
2023-05-27,72.420000
2023-05-28,152.830000
2023-05-29,116.870000
2023-05-30,224.750000
2023-05-31,71.920000
2023-06-01,143.840000
2023-06-02,107.880000
2023-06-03,135.350000
2023-06-04,136.350000
2023-06-05,161.820000
2023-06-06,212.770000
2023-06-07,99.390000
2023-06-08,231.750000
2023-06-09,240.240000
2023-06-10,108.380000
